(Mahatma) Ghandi	Cam Địa
A bunch of ripe and succulent grapes	Chùm nho chín mọng
A person who only seeks honors and privileges	Con người chỉ mưu cầu danh lợi
American Revolution	Cách mạng Hoa Kỳ
Asia	Châu Á
Asian continent	Châu Á
Buddha	Bụt
California	Cali
Cambodia	Cam Bốt
Cambodia	Cao Miên
Cambodia	Cao Mên
Cambodian	Cao Miên
Cambodian	Cao Mên
Cao Dai (Vietnamese religion)	Cao Đài Giáo
Cao Dai (a Vietnamese religion)	Cao Đài
Champa	Chiêm Thành
Chaudoc	Châu Đốc
Commerce	Bộ Trưởng Thương Mại
Cộng Hòa Nhân Dân Trung Hoa (People’s Republic of China)	CNT
Cộng Sản Việt Nam (Communist Vietnam)	CSVN
Cộng hòa Xã hội chủ nghĩa Việt Nam (the Socialist Republic of Vietnam)	CXCV
Department of Defense	Bộ Quốc Phòng
Department of Energy	Bộ Trưởng Năng Lượng
Europe	Châu Âu
European Continent	Châu Âu
Father Superior	Cha Bề Trên
Father superior	Cha bề trên
Foreign Secretary	Bộ Trưởng Ngoại Giao
Foreign minister	Bộ Trưởng Bộ Ngoại Giao
Has Miss Lien arrived yet?	Cô Liên đến chưa?
He’ll probably be here soon	Chắc anh ấy sắp đến
How about you?	Còn ông thì sao?
Iron Curtain	Bức Màn Sắt
Kansu	Cam Túc
Korea	Cao Ly
Krakow	Cracốp
Minister of Education	Bộ Trưởng Giáo Dục
Minister of Foreign Affairs	Bộ Trưởng Ngoại Vụ
Ministry of Agriculture	Bộ Nông Nghiệp
Ministry of Defense	Bộ Trưởng Quốc Phòng
Ministry of Domestic Affairs	Bộ Nội Vụ
Ministry of Education and Youth	Bộ Văn Hóa Giáo Dục và Thanh Niên
Ministry of Finance	Bộ Tài Chánh
Ministry of Finance	Bộ Tài Chính
Ministry of Information	Bộ Thông Tin
Ministry of Justice; Justice Department	Bộ Tư Pháp
Ministry of National Education	Bộ Quốc gia Giáo dục
Ministry of Public Health	Bộ Y Tế
Ministry of Social Welfare	Bộ Xã Hội
Nothing at all like that!	Có mốc xì gì đâu!
Oh	Cha, mắc quá
Secretary	Bộ Trưởng Quốc Phòng
Secretary of State	Bộ Trưởng Bộ Ngoại Giao
Secretary of Trade	Bộ Trưởng Thương Mại
There is nothing at all	Chả có gì sốt
a	b
censor cardinal (Cao Dai)	Chưởng Pháp
chancellor (Cao Dai)	Chưởng Ấn
chủ tịch (chairman	CT
cộng sản (communist)	CS
justice minister	Bộ Trưởng Tư Pháp
president)	CT
subdignitaries (Cao Dai)	Chức Việc
that’s too expensive!	Cha, mắc quá
the Greater East Asia Ministry	Bộ Đại Đông Á
the Red Cross	Chữ Thập Đỏ
the Savior	Chúa cứu thế
﻿the Ministry of International Trade and Industry (MITI)	Bộ Ngoại Thương và Kỹ Nghệ
interpersonal rea
